column,unique_values,sample_top_values
Player,2567,"{'Nicolás González': 3, 'Alfon': 2, 'Ciro Immobile': 2, 'Goduine Koyalipou': 2, 'Piero Hincapié': 2, 'Ladislav Krejčí': 2, 'Pascal Groß': 2, 'Arthur Chaves': 2, 'Felipe Chávez': 2, 'Badredine Bouanani': 2}"
Age_stats_playing_time,2074,"{'26-039': 5, '22-359': 5, '26-029': 5, '22-347': 4, '26-049': 4, '27-020': 4, '26-030': 4, '20-313': 4, '20-075': 4, '29-073': 4}"
Age_stats_misc,2074,"{'26-039': 5, '22-359': 5, '26-029': 5, '22-347': 4, '26-049': 4, '27-020': 4, '26-030': 4, '20-313': 4, '20-075': 4, '29-073': 4}"
Age_stats_shooting,2074,"{'26-039': 5, '22-359': 5, '26-029': 5, '22-347': 4, '26-049': 4, '27-020': 4, '26-030': 4, '20-313': 4, '20-075': 4, '29-073': 4}"
Age_stats_keeper,168,"{nan: 2548, '27-020': 2, '26-121': 2, '25-081': 1, '33-166': 1, '19-298': 1, '23-296': 1, '37-339': 1, '33-018': 1, '21-335': 1}"
Nation_stats_playing_time,112,"{'es ESP': 392, 'fr FRA': 323, 'de GER': 220, 'it ITA': 195, 'eng ENG': 193, 'br BRA': 92, 'nl NED': 81, 'ar ARG': 80, 'pt POR': 58, 'be BEL': 57}"
Nation_stats_misc,112,"{'es ESP': 392, 'fr FRA': 323, 'de GER': 220, 'it ITA': 195, 'eng ENG': 193, 'br BRA': 92, 'nl NED': 81, 'ar ARG': 80, 'pt POR': 58, 'be BEL': 57}"
Nation_stats_shooting,112,"{'es ESP': 392, 'fr FRA': 323, 'de GER': 220, 'it ITA': 195, 'eng ENG': 193, 'br BRA': 92, 'nl NED': 81, 'ar ARG': 80, 'pt POR': 58, 'be BEL': 57}"
Nation,112,"{'es ESP': 392, 'fr FRA': 323, 'de GER': 220, 'it ITA': 195, 'eng ENG': 193, 'br BRA': 92, 'nl NED': 81, 'ar ARG': 80, 'pt POR': 58, 'be BEL': 57}"
Squad,96,"{'Nice': 36, 'Marseille': 34, 'Pisa': 34, 'Hellas Verona': 34, 'Sevilla': 33, 'Nantes': 33, 'Rennes': 33, 'Elche': 32, 'Real Madrid': 32, 'West Ham United': 32}"
Nation_stats_keeper,45,"{nan: 2548, 'it ITA': 24, 'de GER': 22, 'es ESP': 18, 'fr FRA': 15, 'ar ARG': 7, 'be BEL': 6, 'br BRA': 6, 'nl NED': 6, 'eng ENG': 6}"
Pos_stats_misc,9,"{'MF': 911, 'DF': 679, 'FW': 388, 'MF,FW': 194, 'GK': 170, 'FW,MF': 141, 'DF,MF': 132, 'MF,DF': 101, 'DF,FW': 2}"
Pos,9,"{'MF': 911, 'DF': 679, 'FW': 388, 'MF,FW': 194, 'GK': 170, 'FW,MF': 141, 'DF,MF': 132, 'MF,DF': 101, 'DF,FW': 2}"
Pos_stats_shooting,9,"{'MF': 911, 'DF': 679, 'FW': 388, 'MF,FW': 194, 'GK': 170, 'FW,MF': 141, 'DF,MF': 132, 'MF,DF': 101, 'DF,FW': 2}"
Pos_stats_playing_time,9,"{'MF': 911, 'DF': 679, 'FW': 388, 'MF,FW': 194, 'GK': 170, 'FW,MF': 141, 'DF,MF': 132, 'MF,DF': 101, 'DF,FW': 2}"
Comp,5,"{'it Serie A': 578, 'es La Liga': 575, 'fr Ligue 1': 539, 'eng Premier League': 535, 'de Bundesliga': 491}"
Comp_stats_keeper,5,"{nan: 2548, 'it Serie A': 39, 'fr Ligue 1': 37, 'eng Premier League': 35, 'es La Liga': 31, 'de Bundesliga': 28}"
Comp_stats_playing_time,5,"{'it Serie A': 578, 'es La Liga': 575, 'fr Ligue 1': 539, 'eng Premier League': 535, 'de Bundesliga': 491}"
Comp_stats_shooting,5,"{'it Serie A': 578, 'es La Liga': 575, 'fr Ligue 1': 539, 'eng Premier League': 535, 'de Bundesliga': 491}"
Comp_stats_misc,5,"{'it Serie A': 578, 'es La Liga': 575, 'fr Ligue 1': 539, 'eng Premier League': 535, 'de Bundesliga': 491}"
Pos_stats_keeper,1,"{nan: 2548, 'GK': 170}"
