Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,OG,Pos_clean,role_group,Player_clean,nation_code,nation_name,league_code,league_name,starts_ratio,minutes_per_appearance,Saves_per90,GA_per90_check
39,Julen Agirrezabala,es ESP,GK,Valencia,es La Liga,25.0,2000.0,18,18,1620,18.0,0,0,0,0,0,0,1,0,0.0,30.0,1.67,79.0,52.0,65.8,3.0,7.0,8.0,4.0,22.2,4.0,3.0,1.0,0.0,0,0,,0.0,0.0,,,90,64.3,90.0,18,0,,0,0.89,17,30,-13,-0.72,-0.82,1,0,0,0,1,0,0,0,1,0,GK,GK,julen agirrezabala,es,ESP,es,La Liga,1.0,90.0,2.888888888888889,1.6666666666666667
79,Alisson,br BRA,GK,Liverpool,eng Premier League,33.0,1992.0,25,25,2250,25.0,0,0,0,0,0,0,1,0,0.0,30.0,1.2,84.0,56.0,66.7,13.0,7.0,5.0,8.0,32.0,2.0,2.0,0.0,0.0,0,0,,0.0,0.0,,,90,83.3,90.0,25,0,,0,1.84,43,30,13,0.52,1.32,1,0,0,1,7,0,0,0,0,0,GK,GK,alisson,br,BRA,eng,Premier League,1.0,90.0,2.24,1.2
109,Nícolas Andrade,br BRA,GK,Pisa,it Serie A,37.0,1988.0,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,9.0,1.8,19.0,10.0,52.6,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,,0.0,0.0,,,90,17.2,90.0,5,0,,24,0.6,4,9,-5,-1.0,-0.13,0,0,0,0,1,0,0,0,0,0,GK,GK,nicolas andrade,br,BRA,it,Serie A,1.0,90.0,2.0,1.8
136,Alphonse Areola,fr FRA,GK,West Ham United,eng Premier League,33.0,1993.0,20,20,1800,20.0,0,1,1,0,0,0,0,0,0.05,37.0,1.85,108.0,76.0,70.4,4.0,5.0,11.0,0.0,0.0,6.0,5.0,0.0,1.0,0,0,,0.0,0.0,,,90,66.7,90.0,20,0,,10,0.85,25,37,-12,-0.6,0.1,0,0,0,1,1,0,0,1,0,0,GK,GK,alphonse areola,fr,FRA,eng,Premier League,1.0,90.0,3.8,1.85
139,Paul Argney,fr FRA,GK,Le Havre,fr Ligue 1,19.0,2006.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,3.0,2.0,66.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,0.0,,,90,3.8,90.0,1,0,,2,3.0,2,1,1,1.0,1.52,0,0,0,0,0,0,0,0,0,0,GK,GK,paul argney,fr,FRA,fr,Ligue 1,1.0,90.0,2.0,1.0
163,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,23.0,2002.0,26,26,2340,26.0,0,0,0,0,0,0,0,0,0.0,43.0,1.65,117.0,75.0,63.2,9.0,7.0,10.0,5.0,19.2,1.0,0.0,1.0,0.0,0,0,,0.0,0.0,,,90,100.0,90.0,26,0,,0,1.31,37,43,-6,-0.23,,0,0,0,0,3,0,0,1,0,0,GK,GK,noah atubolu,de,GER,de,Bundesliga,1.0,90.0,2.8846153846153846,1.6538461538461537
165,Emil Audero,id IDN,GK,Cremonese,it Serie A,29.0,1997.0,25,25,2250,25.0,0,0,0,0,0,0,0,0,0.0,37.0,1.48,135.0,102.0,74.8,5.0,6.0,14.0,7.0,28.0,4.0,3.0,1.0,0.0,0,0,,0.0,0.0,,,90,86.2,90.0,25,0,,2,0.84,19,37,-18,-0.72,0.03,0,0,0,0,5,0,0,0,0,0,GK,GK,emil audero,id,IDN,it,Serie A,1.0,90.0,4.08,1.48
177,Mio Backhaus,de GER,GK,Werder Bremen,de Bundesliga,21.0,2004.0,24,24,2160,24.0,0,0,0,0,0,0,0,0,0.0,43.0,1.79,110.0,71.0,64.5,5.0,7.0,12.0,4.0,16.7,4.0,4.0,0.0,0.0,0,0,,0.0,0.0,,,90,92.3,90.0,24,0,,0,0.92,28,43,-15,-0.62,0.87,0,0,0,0,8,0,0,0,0,0,GK,GK,mio backhaus,de,GER,de,Bundesliga,1.0,90.0,2.9583333333333335,1.7916666666666667
229,Augusto Batalla,ar ARG,GK,Rayo Vallecano,es La Liga,29.0,1996.0,28,28,2520,28.0,0,0,0,0,0,0,4,0,0.0,34.0,1.21,104.0,75.0,72.1,7.0,11.0,10.0,8.0,28.6,5.0,5.0,0.0,0.0,0,0,,0.0,0.0,,,90,100.0,90.0,28,0,,0,1.14,28,34,-6,-0.21,,4,0,0,0,4,0,0,0,1,0,GK,GK,augusto batalla,ar,ARG,es,La Liga,1.0,90.0,2.6785714285714284,1.2142857142857142
232,Daniel Batz,de GER,GK,Mainz 05,de Bundesliga,35.0,1991.0,14,14,1260,14.0,0,0,0,0,0,0,1,0,0.0,18.0,1.29,67.0,50.0,74.6,5.0,6.0,3.0,3.0,21.4,1.0,1.0,0.0,0.0,0,0,,0.0,0.0,,,90,53.8,90.0,14,0,,3,1.5,20,18,2,0.14,1.14,1,0,0,0,0,0,0,0,0,0,GK,GK,daniel batz,de,GER,de,Bundesliga,1.0,90.0,3.5714285714285716,1.2857142857142858
