column,Q1,Q3,IQR,lower_bound,upper_bound,outlier_count,outlier_percent
Ast,0.0,1.0,1.0,-1.5,2.5,345,12.69
Crs,1.0,21.0,20.0,-29.0,51.0,287,10.56
+/-,-5.0,3.0,8.0,-17.0,15.0,254,9.35
Off,0.0,2.0,2.0,-3.0,5.0,217,7.98
+/-90,-0.63,0.49,1.12,-2.31,2.17,210,7.73
On-Off,-0.61,0.57,1.18,-2.38,2.34,205,7.54
G+A,0.0,3.0,3.0,-4.5,7.5,202,7.43
Sh,2.0,17.0,15.0,-20.5,39.5,180,6.62
Gls_stats_shooting,0.0,2.0,2.0,-3.0,5.0,156,5.74
Gls,0.0,2.0,2.0,-3.0,5.0,156,5.74
SoT,0.0,6.0,6.0,-9.0,15.0,149,5.48
unSub,0.0,6.0,6.0,-9.0,15.0,125,4.6
G-PK,0.0,2.0,2.0,-3.0,5.0,121,4.45
G+A-PK,0.0,0.28,0.28,-0.42000000000000004,0.7000000000000001,119,4.38
PPM,0.93,1.73,0.7999999999999999,-0.2699999999999999,2.9299999999999997,104,3.83
SoT/90,0.0,0.6,0.6,-0.8999999999999999,1.5,94,3.46
G/Sh,0.0,0.13,0.13,-0.195,0.325,89,3.27
Fld,2.0,17.0,15.0,-20.5,39.5,87,3.2
Compl,0.0,10.0,10.0,-15.0,25.0,80,2.94
Int,1.0,13.0,12.0,-17.0,31.0,79,2.91
Sh/90,0.34,1.8975,1.5574999999999999,-1.9962499999999996,4.23375,66,2.43
SoT%,16.7,41.2,24.500000000000004,-20.050000000000008,77.95000000000002,51,1.88
CrdY,0.0,3.0,3.0,-4.5,7.5,49,1.8
CrdY_stats_misc,0.0,3.0,3.0,-4.5,7.5,49,1.8
Mn/Start,71.0,86.0,15.0,48.5,108.5,47,1.73
TklW,1.0,15.0,14.0,-20.0,36.0,47,1.73
onG,4.0,23.0,19.0,-24.5,51.5,35,1.29
Fls,2.0,18.0,16.0,-22.0,42.0,29,1.07
Mn/Sub,14.0,27.0,13.0,-5.5,46.5,29,1.07
Subs,1.0,7.0,6.0,-8.0,16.0,26,0.96
Save%,63.7,72.8,9.099999999999994,50.05000000000001,86.44999999999999,19,0.7
Born_stats_misc,1997.0,2003.0,6.0,1988.0,2012.0,18,0.66
Born_stats_playing_time,1997.0,2003.0,6.0,1988.0,2012.0,18,0.66
Born,1997.0,2003.0,6.0,1988.0,2012.0,18,0.66
Born_stats_shooting,1997.0,2003.0,6.0,1988.0,2012.0,18,0.66
GA90,1.13,1.75,0.6200000000000001,0.19999999999999973,2.68,14,0.52
onGA,5.0,23.0,18.0,-22.0,50.0,9,0.33
CS%,15.7,35.0,19.3,-13.250000000000004,63.95,8,0.29
Age,22.0,29.0,7.0,11.5,39.5,7,0.26
PKatt_stats_keeper,1.0,4.0,3.0,-3.5,8.5,2,0.07
G/SoT,0.0,0.4,0.4,-0.6000000000000001,1.0,1,0.04
90s,3.0,17.8,14.8,-19.200000000000003,40.0,0,0.0
MP,7.0,23.0,16.0,-17.0,47.0,0,0.0
Rk,680.25,2038.75,1358.5,-1357.5,4076.5,0,0.0
Min,270.5,1599.0,1328.5,-1722.25,3591.75,0,0.0
Starts,2.0,18.0,16.0,-22.0,42.0,0,0.0
Rk_stats_keeper,43.25,127.75,84.5,-83.5,254.5,0,0.0
Born_stats_keeper,1993.0,2000.0,7.0,1982.5,2010.5,0,0.0
MP_stats_keeper,5.0,26.0,21.0,-26.5,57.5,0,0.0
Min_stats_keeper,425.75,2340.0,1914.25,-2445.625,5211.375,0,0.0
Starts_stats_keeper,4.25,26.0,21.75,-28.375,58.625,0,0.0
90s_stats_keeper,4.75,26.0,21.25,-27.125,57.875,0,0.0
GA,7.25,33.0,25.75,-31.375,71.625,0,0.0
SoTA,19.0,105.75,86.75,-111.125,235.875,0,0.0
Saves,13.0,73.75,60.75,-78.125,164.875,0,0.0
Rk_stats_shooting,680.25,2038.75,1358.5,-1357.5,4076.5,0,0.0
90s_stats_shooting,3.0,17.8,14.8,-19.200000000000003,40.0,0,0.0
CS,1.0,7.0,6.0,-8.0,16.0,0,0.0
W,1.0,9.0,8.0,-11.0,21.0,0,0.0
L,2.0,10.0,8.0,-10.0,22.0,0,0.0
D,1.0,7.0,6.0,-8.0,16.0,0,0.0
PKA,0.0,3.75,3.75,-5.625,9.375,0,0.0
Min_stats_playing_time,270.5,1599.0,1328.5,-1722.25,3591.75,0,0.0
90s_stats_playing_time,3.0,17.8,14.8,-19.200000000000003,40.0,0,0.0
Min%,10.925,63.6,52.675,-68.08749999999999,142.61249999999998,0,0.0
Starts_stats_playing_time,2.0,18.0,16.0,-22.0,42.0,0,0.0
Mn/MP,36.0,78.0,42.0,-27.0,141.0,0,0.0
Rk_stats_playing_time,853.25,2562.5,1709.25,-1710.625,5126.375,0,0.0
MP_stats_playing_time,7.0,23.0,16.0,-17.0,47.0,0,0.0
Rk_stats_misc,680.25,2038.75,1358.5,-1357.5,4076.5,0,0.0
90s_stats_misc,3.0,17.8,14.8,-19.200000000000003,40.0,0,0.0
